Depth (cm)	EM3
523.25	0.097981067
523.75	0.097779221
524.25	0.060682983
524.75	0.024016515
525.25	0.0042338139
525.75	0.13028568
526.25	0.070789391
526.75	0.037565911
527.25	0.077522485
527.75	0.050289153
528.25	0.11270559
528.75	0.0064869504
529.25	0.051597851
529.75	0.11264139
530.25	0.1222401
530.75	0.056993869
531.25	0.0039562448
531.75	0.15390346
532.25	0.12597069
532.75	0.1704219
533.25	0.20541379
533.75	0.14122776
534.25	0.16463527
534.75	0.16122623
535.25	0.2289892
535.75	0.3078019
536.25	0.12726132
536.75	0.23378928
537.25	0.1967422
537.75	0.21367667
538.25	0.16550609
538.75	0.18224957
539.25	0.17769682
539.75	0.20952129
540.25	0.19600091
540.75	0.31190864
541.25	0.28567646
541.75	0.31150135
542.25	0.25176274
542.75	0.27490563
543.25	0.27944472
543.75	0.34467169
544.25	0.32351182
544.75	0.34307965
545.25	0.33338965
545.75	0.3660851
546.25	0.40735742
546.75	0.34381868
547.25	0.30882305
547.75	0.35475293
548.25	0.36394857
548.75	0.29170749
549.25	0.27682867
549.75	0.2946384
550.25	0.2934876
550.75	0.28288571
551.25	0.29711419
551.75	0.28504808
552.25	0.29374149
552.75	0.34955141
553.25	0.28071597
553.75	0.27088566
554.25	0.28898291
554.75	0.24317062
555.25	0.26955106
555.75	0.27108133
556.25	0.32186324
556.75	0.25541339
557.25	0.28010735
557.75	0.36228381
558.25	0.32747764
558.75	0.41887034
559.25	0.37521615
559.75	0.36312765
560.25	0.37547403
560.75	0.29187493
561.25	0.31086988
561.75	0.38217251
562.25	0.36616075
562.75	0.38475344
563.25	0.39118657
563.75	0.37958844
564.25	0.33761588
564.75	0.35234842
565.25	0.19760012
565.75	0.48251219
566.25	0.33857075
566.75	0.46806543
567.25	0.41010703
567.75	0.41658796
568.25	0.3624615
568.75	0.38027699
569.25	0.5046739
569.75	0.39921866
570.25	0.51925318
570.75	0.58354072
571.25	0.5406779
571.75	0.47284315
572.25	0.55321354
572.75	0.56734376
573.25	0.54000615
573.75	0.55662466
574.25	0.58973145
574.75	0.54995348
575.25	0.5330619
575.75	0.56303572
576.25	0.57959647
576.75	0.6653602
577.25	0.57215304
577.75	0.61103865
578.25	0.6095596
578.75	0.52390279
579.25	0.60080691
579.75	0.5523251
580.25	0.69071051
580.75	0.70640625
581.25	0.45265403
581.75	0.51620416
582.25	0.44879032
582.75	0.3835443
583.25	0.38130479
583.75	0.73683618
584.25	0.74362216
584.75	0.72812814
585.25	0.90970387
585.75	0.86541674
586.25	0.89541614
586.75	0.73870129
587.25	0.69997768
587.75	0.68641384
588.25	0.75384849
588.75	0.70151865
589.25	0.83287311
589.75	0.57749051
590.25	0.55987049
590.75	0.50991082
591.25	0.54457705
591.75	0.43839454
592.25	0.48815035
592.75	0.49657156
593.25	0.51146507
593.75	0.69825765
594.25	0.70436455
594.75	0.75684144
595.25	0.73472256
595.75	0.61061903
596.25	0.6148085
596.75	0.63734639
597.25	0.58718337
597.75	0.80141739
598.25	0.84365236
598.75	0.85876903
599.25	0.77496137
599.75	0.75351448
600.25	0.74853348
600.75	0.80622806
601.25	0.78500044
601.75	0.82958908
602.25	0.79623782
602.75	0.7883157
603.25	0.76059756
603.75	0.79983541
604.25	0.76723768
604.75	0.73152217
605.25	0.69317765
605.75	0.70838494
606.25	0.72914378
606.75	0.60157931
607.25	0.62478552
607.75	0.70050067
608.25	0.63591524
608.75	0.51442213
609.25	0.34581805
609.75	0.25020315
610.25	0.29275166
610.75	0.19252725
611.25	0.28195296
611.75	0.17176868
612.25	0.21766083
612.75	0.1776011
613.25	0.18074625
613.75	0.16840417
614.25	0.15566384
614.75	0.15621981
615.25	0.17133883
615.75	0.13185832
616.25	0.10249203
616.75	0.083115528
617.25	0.13059651
617.75	0.14418464
618.25	0.29496181
618.75	0.15405499
619.25	0.12864858
619.75	0.14385738
620.25	0.10523481
620.75	0.095541739
621.25	0.10931164
621.75	0.10869555
622.25	0.11465238
622.75	0.15217955
623.25	0.14295965
623.75	0.14560351
624.25	0.12085825
624.75	0.087488902
625.25	0.18641359
625.75	0.20290466
626.25	0.26074847
626.75	0.23251338
627.25	0.200238
627.75	0.13001261
628.25	0.11180391
628.75	0.17846719
629.25	0.19461444
629.75	0.19905449
630.25	0.16971562
630.75	0.13396406
631.25	0.08708165
631.75	0.1268714
632.25	0.34868185
632.75	0.29994592
633.25	0.25898478
633.75	0.29881738
634.25	0.28053656
634.75	0.28518296
635.25	0.29479876
635.75	0.31772029
636.25	0.28997807
636.75	0.29563037
637.25	0.23963325
637.75	0.25727663
638.25	0.28174873
638.75	0.24814171
639.25	0.28769766
639.75	0.26173056
640.25	0.28001103
640.75	0.28944908
641.25	0.2529284
641.75	0.29544269
642.25	0.28370963
642.75	0.26276252
643.25	0.32992971
643.75	0.36432815
